code,course,university,stream,colombo,gampaha,kaluthara,matale,kandy,nuwara_eliya,galle,matara,hambantota,jaffna,kilinochchi,mannar,mallaitivu,vavuniya,trincomalee,batticaloa,ampara,puttalam,kurunegala,anuradhapura,polonnaruwa,badulla,monaragala,kegalle,ratnapura,course_code,uni_code,subjects,medium,degree,duration
109G,BUSINESS SCIENCE,university_of_moratuwa,none,2.0126,1.771,1.9222,1.6797,1.7135,1.9926,1.8831,1.9574,1.8128,1.4936,0.662,1.6671,1.3617,1.524,1.5072,1.4592,1.5632,1.7015,1.8542,1.8631,1.6811,1.6119,1.8147,1.9134,1.7655,109,G,combined_mathematics|chemistry|physics|biology,english,Bachelor of Business Science Honours,4
027D,MANAGEMENT AND INFORMATION TECHNOLOGY  (MIT) (OTHER STREAM),university_of_kelaniya,none,1.4873,1.4122,1.4433,1.3437,1.4445,0.7942,1.4804,1.4981,1.4935,1.4733,1.148,1.3016,0.7221,1.0201,1.2204,1.263,1.1247,1.0082,1.4437,1.3051,0.9775,1.3671,1.1535,1.4731,1.494,27,D,higher_mathematics|combined_mathematics|mathematics|physics|higher_mathematics|combined_mathematics|mathematics|physics|biology|chemistry|ict|higher_mathematics|combined_mathematics|mathematics|physics|biology|chemistry|ict|ict,english,Bachelor of Science Honours in Management & Information Technology,4
027D,MANAGEMENT AND INFORMATION TECHNOLOGY  (MIT) (BIO SCIENCE STREAM),university_of_kelaniya,biological_science,1.4237,1.3684,1.4152,1.2756,1.2345,1.2196,1.462,1.4539,1.3564,1.4702,1.3156,1.3669,1.44,1.1886,1.3023,1.3826,1.3762,1.1878,1.4438,1.386,1.071,1.2025,1.4626,1.3746,1.4691,27,D,higher_mathematics|combined_mathematics|mathematics|physics|higher_mathematics|combined_mathematics|mathematics|physics|biology|chemistry|ict|higher_mathematics|combined_mathematics|mathematics|physics|biology|chemistry|ict|ict,english,Bachelor of Science Honours in Management & Information Technology,4
059A,INDUSTRIAL STATISTICS & MATHEMATICAL FINANCE,university_of_colombo,physical_science,1.4289,1.3558,1.3857,1.1018,1.3298,0.7097,1.4315,1.4259,1.4083,1.3105,1.0681,0.5198,0.2579,0.8267,1.066,1.0967,1.0802,1.0217,1.3635,1.2555,0.8476,1.3615,1.1399,1.3675,1.3592,59,A,combined_mathematics|higher_mathematics|physics|chemistry|ict,english,Bachelor of Science|Bachelor of Science Honours in Industrial Statistics|Bachelor of Science Honours in Mathematical Finance,3|4|4
113F,FINANCIAL MATHEMATICS AND INDUSTRIAL STATISTICS,university_of_ruhuna,none,1.1619,1.107,1.1893,0.9638,1.1367,0.6911,1.1684,1.2285,1.2167,1.1156,0.5449,0.4917,0.0932,0.6267,0.9834,1.0928,1.0276,0.9456,1.127,0.9794,0.7694,1.2211,1.0273,1.1804,1.1928,113,F,economics|geography|history|home_economics|agricultural_science|mathematics|combined_mathematics|communication_and_media_studies|ict|accounting|business_statistics|political_science|logic_and_scientific_method|civil_technology|electrical_electronic_and_information_technology|agro_technology|mechanical_technology|food_technology|bio_resource_technology|buddhism|hinduism|christianity|islam|buddhist_civilization|hindu_civilization|christian_civilization|islamic_civilization|greek_and_roman_civilization|art|dancing|music|drama_and_theatre|sinhala|tamil|english|arabic|pali|sanskrit|chinese|french|german|hindi|japanese|malay|russian|korean|biology|chemistry|physics|higher_mathematics|business_studies|engineering_technology|science_for_technology|biosystems_technology,english,Bachelor of Science Honours in Financial Mathematics and Industrial Statistics,4
060B,STATISTICS & OPERATIONS RESEARCH,university_of_peradeniya,physical_science,1.3691,1.3684,1.3855,1.1419,1.3949,0.7645,1.4223,1.4162,1.421,1.4181,0.8705,0.6376,0.5441,0.8384,1.0916,1.231,1.108,1.0171,1.3932,1.3005,0.7787,1.346,1.1648,1.4034,1.3866,60,B,combined_mathematics|biology|chemistry|physics|agricultural_science|mathematics|higher_mathematics|ict,english,Bachelor of Science Honours in Statistics and Operations Research,4
111B,GEOGRAPHICAL INFORMATION SCIENCE,university_of_peradeniya,none,1.8489,1.8776,1.934,1.9401,1.819,1.6872,1.8964,1.8816,1.9855,1.8235,1.871,1.8338,1.8313,1.8117,1.9141,1.8885,1.8774,1.7282,1.9504,1.8118,1.8621,1.8247,1.9601,1.8882,1.9288,111,B,economics|geography|history|home_economics|agricultural_science|mathematics|combined_mathematics|communication_and_media_studies|ict|accounting|business_statistics|political_science|logic_and_scientific_method|civil_technology|electrical_electronic_and_information_technology|agro_technology|mechanical_technology|food_technology|bio_resource_technology|buddhism|hinduism|christianity|islam|buddhist_civilization|hindu_civilization|christian_civilization|islamic_civilization|greek_and_roman_civilization|art|dancing|music|drama_and_theatre|sinhala|tamil|english|arabic|pali|sanskrit|chinese|french|german|hindi|japanese|malay|russian|korean|biology|chemistry|physics|higher_mathematics|business_studies|engineering_technology|science_for_technology|biosystems_technology,english,Bachelor of Science Honours in Geographical Information Science,4
038R,INFORMATION AND COMMUNICATION TECHNOLOGY (ICT),university_of_vavuniya_sri_lanka,none,1.0947,1.1689,1.1408,1.2165,1.02,0.8158,1.1797,1.1787,1.0845,1.1896,0.7959,0.7614,0.1812,0.8413,0.9762,1.0181,1.0566,0.9048,1.151,1.1403,0.9697,1.01,1.1613,1.1283,1.0919,38,R,economics|geography|history|home_economics|agricultural_science|mathematics|combined_mathematics|communication_and_media_studies|ict|accounting|business_statistics|political_science|logic_and_scientific_method|civil_technology|electrical_electronic_and_information_technology|agro_technology|mechanical_technology|food_technology|bio_resource_technology|buddhism|hinduism|christianity|islam|buddhist_civilization|hindu_civilization|christian_civilization|islamic_civilization|greek_and_roman_civilization|art|dancing|music|drama_and_theatre|sinhala|tamil|english|arabic|pali|sanskrit|chinese|french|german|hindi|japanese|malay|russian|korean|biology|chemistry|physics|higher_mathematics|business_studies|engineering_technology|science_for_technology|biosystems_technology,english,Bachelor of Science in Information Technology|Bachelor of Science Honours in Information Technology,3|4
096C,INFORMATION SYSTEMS,university_of_colombo_school_of_computing,none,1.6786,1.7001,1.7935,1.8254,1.8333,NQC,1.7055,1.692,1.6935,1.8874,NQC,NQC,NQC,NQC,NQC,1.7066,1.6793,NQC,1.7116,1.6808,NQC,1.949,2.716,1.7485,1.6887,96,C,economics|geography|history|home_economics|agricultural_science|mathematics|combined_mathematics|communication_and_media_studies|ict|accounting|business_statistics|political_science|logic_and_scientific_method|civil_technology|electrical_electronic_and_information_technology|agro_technology|mechanical_technology|food_technology|bio_resource_technology|buddhism|hinduism|christianity|islam|buddhist_civilization|hindu_civilization|christian_civilization|islamic_civilization|greek_and_roman_civilization|art|dancing|music|drama_and_theatre|sinhala|tamil|english|arabic|pali|sanskrit|chinese|french|german|hindi|japanese|malay|russian|korean|biology|chemistry|physics|higher_mathematics|business_studies|engineering_technology|science_for_technology|biosystems_technology,english,Bachelor of Science in Information Systems,3
096L,INFORMATION SYSTEMS,university_of_sri_jayewardenepura,none,1.6527,1.6714,1.6691,1.7496,1.6686,NQC,1.6549,NQC,NQC,1.673,NQC,NQC,NQC,NQC,NQC,NQC,1.7642,1.7225,1.6527,2.0801,NQC,NQC,NQC,1.7105,1.6573,96,L,economics|geography|history|home_economics|agricultural_science|mathematics|combined_mathematics|communication_and_media_studies|ict|accounting|business_statistics|political_science|logic_and_scientific_method|civil_technology|electrical_electronic_and_information_technology|agro_technology|mechanical_technology|food_technology|bio_resource_technology|buddhism|hinduism|christianity|islam|buddhist_civilization|hindu_civilization|christian_civilization|islamic_civilization|greek_and_roman_civilization|art|dancing|music|drama_and_theatre|sinhala|tamil|english|arabic|pali|sanskrit|chinese|french|german|hindi|japanese|malay|russian|korean|biology|chemistry|physics|higher_mathematics|business_studies|engineering_technology|science_for_technology|biosystems_technology,english,Bachelor of Computing Honours in Information Systems [BCompHons (Inf Sys)],4
096T,INFORMATION SYSTEMS,university_of_sabaragamuwa,none,1.4076,1.2411,1.4654,1.2166,1.2036,0.9123,1.4976,1.4297,1.2853,1.2983,1.0719,0.7707,1.132,1.0374,1.0597,1.0822,1.2317,1.1171,1.2651,1.256,1.1761,1.1196,1.3324,1.208,1.236,96,T,economics|geography|history|home_economics|agricultural_science|mathematics|combined_mathematics|communication_and_media_studies|ict|accounting|business_statistics|political_science|logic_and_scientific_method|civil_technology|electrical_electronic_and_information_technology|agro_technology|mechanical_technology|food_technology|bio_resource_technology|buddhism|hinduism|christianity|islam|buddhist_civilization|hindu_civilization|christian_civilization|islamic_civilization|greek_and_roman_civilization|art|dancing|music|drama_and_theatre|sinhala|tamil|english|arabic|pali|sanskrit|chinese|french|german|hindi|japanese|malay|russian|korean|biology|chemistry|physics|higher_mathematics|business_studies|engineering_technology|science_for_technology|biosystems_technology|,english,Bachelor of Science Honours in Information Systems [BScHons (IInf Sys)],4
099C,SOFTWARE ENGINEERING,university_of_sri_jayewardenepura,none,1.5399,1.5474,1.5413,NQC,NQC,NQC,1.5472,1.5385,1.5642,1.545,NQC,NQC,NQC,NQC,NQC,NQC,NQC,NQC,1.5378,NQC,NQC,1.558,NQC,1.5382,NQC,99,C,combined_mathematics|physics|chemistry|higher_mathematics|ict,english,Bachelor of Computing Honours in Software Engineering,4
099D,SOFTWARE ENGINEERING,university_of_kelaniya,none,1.5643,1.5647,1.5649,NQC,NQC,NQC,1.5658,1.5659,1.567,1.6254,NQC,NQC,NQC,NQC,NQC,NQC,NQC,NQC,1.5742,NQC,NQC,1.5768,NQC,1.576,NQC,99,D,combined_mathematics|physics|chemistry|higher_mathematics|ict,english,Bachelor of Science Honours in Software Engineering,4
