code,course,university,stream,colombo,gampaha,kaluthara,matale,kandy,nuwara_eliya,galle,matara,hambantota,jaffna,kilinochchi,mannar,mallaitivu,vavuniya,trincomalee,batticaloa,ampara,puttalam,kurunegala,anuradhapura,polonnaruwa,badulla,monaragala,kegalle,ratnapura,course_code,uni_code,subjects,medium,degree,duration
051B,PHARMACY,university_of_peradeniya,biological_science,1.6293,1.598,1.5453,NQC,1.6226,NQC,1.5605,1.5738,1.5729,1.5704,NQC,NQC,1.5592,NQC,NQC,1.5649,1.5434,NQC,1.5429,NQC,NQC,NQC,NQC,NQC,1.546,51,B,biology|chemistry|physics,english,Bachelor of Science in Pharmacy,4
051C,PHARMACY,university_of_sri_jayewardenepura,biological_science,1.4974,1.51,1.5243,NQC,NQC,NQC,1.5066,1.5243,1.5056,1.4986,NQC,NQC,NQC,NQC,NQC,1.4979,1.4995,1.4974,1.498,NQC,NQC,1.5149,NQC,1.4997,1.5128,51,C,biology|chemistry|physics,english,Bachelor of Science in Pharmacy,4
051E,PHARMACY,university_of_jaffna,biological_science,1.0927,1.2216,NQC,1.4526,1.164,1.1703,1.4478,1.4366,NQC,1.4904,1.4004,1.3874,1.4774,NQC,1.4359,1.4909,1.5001,1.3459,1.4527,1.2133,1.2408,1.3673,1.3094,NQC,1.4249,51,E,biology|chemistry|physics,english,Bachelor of Science in Pharmacy,4
051F,PHARMACY,university_of_ruhuna,biological_science,1.4158,1.4059,1.4559,NQC,1.4446,NQC,1.441,1.4402,1.4423,NQC,NQC,NQC,NQC,1.4065,1.4879,1.4778,1.4783,1.4109,1.4533,1.4184,NQC,1.4275,1.4498,1.4504,1.4258,51,F,biology|chemistry|physics,english,Bachelor of Science in Pharmacy,4
052B,MEDICAL LABORATORY SCIENCES,university_of_peradeniya,biological_science,1.6921,NQC,1.7043,NQC,1.6707,NQC,NQC,1.6735,1.6802,1.6904,NQC,NQC,NQC,NQC,NQC,1.6816,1.6825,NQC,1.6721,NQC,NQC,NQC,NQC,NQC,1.6757,52,B,biology|chemistry|physics,english,Bachelor of Science in Medical Laboratory Sciences,4
052C,MEDICAL LABORATORY SCIENCES,university_of_sri_jayewardenepura,biological_science,1.6279,NQC,1.6314,NQC,1.6401,NQC,1.6303,1.6559,1.6263,1.6349,NQC,NQC,NQC,NQC,NQC,1.6264,1.6641,NQC,1.6272,NQC,NQC,NQC,NQC,1.6272,1.6286,52,C,biology|chemistry|physics,english,Bachelor of Science in Medical Laboratory Sciences,4
052E,MEDICAL LABORATORY SCIENCES,university_of_jaffna,biological_science,1.3332,1.3844,NQC,1.5035,1.4249,1.2636,NQC,NQC,NQC,1.6053,1.4217,1.4899,1.6104,1.5383,1.4936,1.5933,1.5981,1.5261,1.5848,1.348,1.3634,1.4093,1.3848,1.5111,1.5901,52,E,biology|chemistry|physics,english,Bachelor of Science in Medical Laboratory Sciences,4
052F,MEDICAL LABORATORY SCIENCES,university_of_ruhuna,biological_science,1.5478,1.547,1.5924,NQC,1.5929,NQC,1.5725,1.5945,1.5896,NQC,NQC,NQC,NQC,NQC,NQC,1.6168,1.6075,1.5361,1.5663,NQC,NQC,NQC,NQC,1.5514,1.5833,52,F,biology|chemistry|physics,english,Bachelor of Science in Medical Laboratory Sciences,4
053B,RADIOGRAPHY,university_of_peradeniya,biological_science,1.3867,1.4445,1.493,1.3989,1.5115,1.3704,1.4786,1.5349,1.492,1.5573,1.4074,1.5134,1.5474,1.3475,1.4703,1.5746,1.5758,1.4637,1.5285,1.4216,1.3998,1.4788,1.4788,1.5293,1.5334,53,B,biology|chemistry|physics,english,Bachelor of Science in Radiography,4
138A,MEDICAL IMAGING TECHNOLOGY,university_of_colombo,biological_science,1.5391,1.4494,1.5183,1.3394,1.4585,1.3539,1.4392,1.4795,1.5434,1.5571,1.2894,1.4626,1.3841,1.3949,1.4441,1.5111,1.5277,1.51,1.5212,1.3866,1.3529,1.517,1.4922,1.52,1.5577,138,A,physics|chemistry|biology,english,Bachelor of Science Honours in Medical Imaging Technology,4
054A,PHYSIOTHERAPY,university_of_colombo,biological_science,1.6383,1.6095,1.6584,NQC,1.6175,NQC,1.6379,1.6758,1.6283,1.6682,NQC,NQC,1.6496,NQC,NQC,1.6555,1.6032,NQC,1.6362,NQC,NQC,NQC,NQC,1.6094,1.6215,54,A,physics|chemistry|biology|mathematics|higher_mathematics|combined_mathematics,english,Bachelor of Science in Physiotherapy,4
054B,PHYSIOTHERAPY,university_of_peradeniya,biological_science,NQC,1.5587,1.6815,1.5695,1.5465,1.3708,NQC,1.677,NQC,1.6628,1.5318,1.6609,NQC,1.4442,1.5316,NQC,NQC,1.5572,1.6588,1.4438,1.4299,1.432,1.5586,NQC,1.5892,54,B,physics|chemistry|biology|mathematics|higher_mathematics|combined_mathematics,english,Bachelor of Science in Physiotherapy,4
115D,OCCUPATIONAL THERAPY,university_of_kelaniya,biological_science,1.2943,1.2241,1.3497,1.3862,1.2856,1.2369,1.4081,1.3937,1.374,1.4339,1.3781,1.1275,1.2725,1.1512,1.4293,1.4355,1.427,1.4153,1.4128,1.3319,1.1079,1.2731,1.4181,1.4074,1.391,115,D,biology|chemistry|physics,english,Bachelor of Science Honours in Occupational Therapy,4
116C,OPTOMETRY,university_of_sri_jayewardenepura,biological_science,1.3269,1.4194,1.3481,1.3884,1.3643,1.3337,1.4101,1.3924,1.4701,1.4726,1.3999,1.4513,1.4618,1.45,1.4374,1.4398,1.4645,1.4549,1.4525,1.1698,1.125,1.3029,1.3376,1.4523,1.4055,116,C,biology|chemistry|physics,english,Bachelor of Science Honours in Optometry,4
055D,ENVIRONMENTAL CONSERVATION & MANAGEMENT,university_of_kelaniya,biological_science,0.9778,1.0108,0.9067,0.8433,1.0451,0.8631,1.0432,1.002,1.0376,0.8478,0.793,0.6823,0.2724,0.6881,0.9148,0.8607,0.8529,0.9038,0.9927,0.9503,0.7123,0.9915,0.8994,1.0143,0.975,55,D,biology|chemistry|physics|combined_mathematics|mathematics|agricultural_science,english,Bachelor of Science in Environmental Conservation and Management|Bachelor of Science Honours in Environmental Conservation and Management,3|4
118D,APPLIED CHEMISTRY,university_of_kelaniya,biological_science,1.4826,1.4424,1.4676,1.4571,1.4556,1.3484,1.4921,1.4796,1.428,1.4135,0.8946,0.7841,0.4884,1.2574,1.4293,1.4109,1.4311,1.4426,1.4676,1.4453,1.421,1.3837,1.3014,1.4505,1.4297,118,D,chemistry|physics|biology|combined_mathematics|mathematics|higher_mathematics|agricultural_science,english,Bachelor of Science Honours in Applied Chemistry,4
119D,ELECTRONICS AND COMPUTER SCIENCE,university_of_kelaniya,physical_science,1.514,1.5292,1.533,1.2146,1.4927,0.8988,1.5178,1.5314,1.5178,1.5092,0.8663,0.9387,0.5184,1.2129,1.2274,1.3049,1.2896,1.2284,1.5045,1.3059,1.2153,1.4524,1.1678,1.4309,1.4552,119,D,physics|combined_mathematics|higher_mathematics|chemistry|ict,english,Bachelor of Science in Electronics and Computer Science|Bachelor of Science Honours in Electronics and Computer Science,3|4
127D,ACCOUNTING INFORMATION SYSTEMS,university_of_kelaniya,commerce,1.6056,1.5586,1.6268,1.5842,1.4553,1.3398,1.6545,1.6508,1.6489,1.5262,0.3414,0.9477,NQC,1.1193,1.2515,1.5055,1.5703,1.5726,1.5955,1.6423,1.46,1.5318,1.4305,1.6317,1.652,127,D,accounting|economics|business_studies|business_statistics|ict,english,Bachelor of Business Management Honours in Accounting Information Systems,4
062F,FISHERIES & MARINE SCIENCES,university_of_ruhuna,biological_science,0.8118,0.763,0.7872,0.7992,0.8501,0.7279,0.8205,0.8069,0.8567,0.6641,0.5129,0.4854,0.3004,0.4834,0.6699,0.6408,0.6664,0.6066,0.8086,0.7432,0.5686,0.7972,0.7287,0.8157,0.8025,62,F,physics|chemistry|biology|mathematics|higher_mathematics|combined_mathematics,english,Bachelor of Science Honours in Fisheries and Marine Sciences,4
106F,MARINE AND FRESHWATER SCIENCES,university_of_ruhuna,biological_science/physical_science,0.9561,0.8724,0.9693,0.9325,0.8803,0.8541,1.0015,1.0148,0.9577,0.9645,0.5329,0.4941,0.2014,0.817,0.9746,0.9684,0.9127,0.817,0.9891,0.8872,0.7467,0.9337,0.9525,0.9356,1.0083,106,F,chemistry|physics|biology|combined_mathematics,english,Bachelor of Science Honours in Marine and Freshwater Sciences,4
086B,ANIMAL SCIENCE & FISHERIES,university_of_peradeniya,biological_science,0.9898,1.0899,1.0599,1.1441,1.1151,1.0192,1.076,1.1145,1.1351,1.0287,0.7351,0.5771,0.4563,0.5626,0.822,1.0492,1.0397,0.9792,1.1171,0.9335,0.946,1.1182,0.944,1.0435,1.0441,86,B,chemistry|biology|physics|agricultural_science,english,Bachelor of Science in Animal Science and Fisheries,4
087M,FOOD  PRODUCTION & TECHNOLOGY MANAGEMENT,wayamba_university_of_sri_lanka,biological_science,0.8949,0.9152,0.9275,0.9052,1.0078,0.8958,0.9631,0.874,0.9686,0.9937,0.7053,0.7598,0.4626,0.7325,0.8533,0.8839,0.8313,0.9225,0.9887,0.9293,0.7366,0.9076,0.9526,0.9953,0.893,87,M,chemistry|physics|biology|mathematics|agricultural_science,english,Bachelor of Science Honours in Food Production and Technology Management,4
107L,FOOD BUSINESS MANAGEMENT [Biological / Physical Science Stream],sabaragamuwa_university_of_sri_lanka,biological_science/physical_science,0.9037,0.8331,0.9161,0.8881,0.8822,0.7051,0.9309,0.9448,0.9344,0.8784,0.4604,0.3597,0.4529,0.3855,0.7702,0.9211,0.8824,0.6954,0.8513,0.7513,0.8165,0.9473,0.8744,0.8976,0.7939,107,L,chemistry|physics|biology|combined_mathematics,english,Bachelor of Science Honours in Food Business Management,4
107L,FOOD BUSINESS MANAGEMENT [Commerce Stream],sabaragamuwa_university_of_sri_lanka,commerce,1.2409,1.2489,1.2696,1.2057,1.2145,1.005,1.2769,1.3096,1.2234,0.9523,0.5789,0.7828,0.9378,0.8859,1.2225,0.9242,0.8619,1.0618,1.2177,1.0562,1.0834,1.041,1.1825,1.2417,1.2714,107,L,business_studies|economics|accounting,english,Bachelor of Science Honours in Food Business Management,4
079J,MANAGEMENT AND INFORMATION TECHNOLOGY (SEUSL),south_eastern_university_of_sri_lanka,none,1.2986,1.3792,1.4209,1.4954,1.4405,1.5253,1.4043,1.3136,1.443,1.3986,1.5455,1.4992,1.4152,1.5059,1.5361,1.54,1.5118,1.5067,1.4792,1.4296,1.5162,1.3605,1.48,1.4874,1.3905,79,J,business_studies|economics|accounting,english,Bachelor of Science in Management and Information Technology (B.Sc. in MIT),3
136L,DATA SCIENCE,sabaragamuwa_university_of_sri_lanka,physical_science,1.3811,1.3854,1.4179,1.0847,1.3267,0.7465,1.4128,1.4337,1.413,1.3956,1.1021,1.2909,0.2673,0.9661,1.1824,1.21,1.2106,1.008,1.3736,1.2567,0.7859,1.3556,1.1343,1.3867,1.3736,136,L,combined_mathematics|physics|higher_mathematics|chemistry|ict,english,Bachelor of Science Honours in Data Science,4
081E,PHYSICAL EDUCATION  #,university_of_jaffna,none,0.1442,-0.1273,-0.0257,-0.026,-0.2536,0.1343,NQC,NQC,-0.4954,0.3278,0.9582,0.9339,0.4676,0.0575,0.7905,0.4278,NQC,0.3822,0.1462,-0.2391,-0.4887,0.1669,0.1302,1.0424,NQC,81,E,economics|geography|history|home_economics|agricultural_science|mathematics|combined_mathematics|communication_and_media_studies|ict|accounting|business_statistics|political_science|logic_and_scientific_method|civil_technology|electrical_electronic_and_information_technology|agro_technology|mechanical_technology|food_technology|bio_resource_technology|buddhism|hinduism|christianity|islam|buddhist_civilization|hindu_civilization|christian_civilization|islamic_civilization|greek_and_roman_civilization|art|dancing|music|drama_and_theatre|sinhala|tamil|english|arabic|pali|sanskrit|chinese|french|german|hindi|japanese|malay|russian|korean|biology|chemistry|physics|higher_mathematics|business_studies|engineering_technology|science_for_technology|biosystems_technology,english,Bachelor of Science Honours in Physical Education,4
081L,PHYSICAL EDUCATION  #,sabaragamuwa_university_of_sri_lanka,none,0.1816,0.1682,0.2083,NQC,0.3353,0.4696,0.2655,0.2925,NQC,0.2325,0.3848,0.4465,1.0164,NQC,0.3802,0.4717,0.3059,0.3221,0.1945,0.2022,NQC,0.2603,0.2916,0.2808,0.388,81,L,economics|geography|history|home_economics|agricultural_science|mathematics|combined_mathematics|communication_and_media_studies|ict|accounting|business_statistics|political_science|logic_and_scientific_method|civil_technology|electrical_electronic_and_information_technology|agro_technology|mechanical_technology|food_technology|bio_resource_technology|buddhism|hinduism|christianity|islam|buddhist_civilization|hindu_civilization|christian_civilization|islamic_civilization|greek_and_roman_civilization|art|dancing|music|drama_and_theatre|sinhala|tamil|english|arabic|pali|sanskrit|chinese|french|german|hindi|japanese|malay|russian|korean|biology|chemistry|physics|higher_mathematics|business_studies|engineering_technology|science_for_technology|biosystems_technology,english,Bachelor of Science Honours in Physical Education,4
082C,SPORTS SCIENCE & MANAGEMENT  #,university_of_sri_jayewardenepura,none,0.8811,0.8875,0.9931,NQC,0.9777,0.9013,0.857,1.0401,NQC,0.8763,NQC,NQC,NQC,NQC,NQC,1.0784,1.0236,0.9,0.8823,0.8822,1.0542,0.8991,0.956,0.8652,0.8691,82,C,economics|geography|history|home_economics|agricultural_science|mathematics|combined_mathematics|communication_and_media_studies|ict|accounting|business_statistics|political_science|logic_and_scientific_method|civil_technology|electrical_electronic_and_information_technology|agro_technology|mechanical_technology|food_technology|bio_resource_technology|buddhism|hinduism|christianity|islam|buddhist_civilization|hindu_civilization|christian_civilization|islamic_civilization|greek_and_roman_civilization|art|dancing|music|drama_and_theatre|sinhala|tamil|english|arabic|pali|sanskrit|chinese|french|german|hindi|japanese|malay|russian|korean|biology|chemistry|physics|higher_mathematics|business_studies|engineering_technology|science_for_technology|biosystems_technology,english,Bachelor of Science Honours in Sports Science,4
082D,SPORTS SCIENCE & MANAGEMENT  #,university_of_kelaniya,none,0.6755,0.6407,0.7486,NQC,0.7086,NQC,0.7201,0.6132,0.6304,0.668,NQC,NQC,NQC,NQC,NQC,0.6865,NQC,0.7427,0.6173,NQC,0.8236,0.6564,0.6517,0.7562,0.8218,82,D,economics|geography|history|home_economics|agricultural_science|mathematics|combined_mathematics|communication_and_media_studies|ict|accounting|business_statistics|political_science|logic_and_scientific_method|civil_technology|electrical_electronic_and_information_technology|agro_technology|mechanical_technology|food_technology|bio_resource_technology|buddhism|hinduism|christianity|islam|buddhist_civilization|hindu_civilization|christian_civilization|islamic_civilization|greek_and_roman_civilization|art|dancing|music|drama_and_theatre|sinhala|tamil|english|arabic|pali|sanskrit|chinese|french|german|hindi|japanese|malay|russian|korean|biology|chemistry|physics|higher_mathematics|business_studies|engineering_technology|science_for_technology|biosystems_technology,english,Bachelor of Science Honours in Sports Science,4
082L,SPORTS SCIENCE & MANAGEMENT  #,sabaragamuwa_university_of_sri_lanka,none,0.363,0.4333,0.5404,0.1696,0.4285,0.3528,0.6028,0.5503,-0.4597,0.4365,0.3635,0.2809,0.5724,0.5833,0.4068,0.8979,0.3989,0.4649,0.64,0.2212,0.0189,0.4314,0.3536,1.0725,0.7644,82,L,economics|geography|history|home_economics|agricultural_science|mathematics|combined_mathematics|communication_and_media_studies|ict|accounting|business_statistics|political_science|logic_and_scientific_method|civil_technology|electrical_electronic_and_information_technology|agro_technology|mechanical_technology|food_technology|bio_resource_technology|buddhism|hinduism|christianity|islam|buddhist_civilization|hindu_civilization|christian_civilization|islamic_civilization|greek_and_roman_civilization|art|dancing|music|drama_and_theatre|sinhala|tamil|english|arabic|pali|sanskrit|chinese|french|german|hindi|japanese|malay|russian|korean|biology|chemistry|physics|higher_mathematics|business_studies|engineering_technology|science_for_technology|biosystems_technology,english,Bachelor of Science Honours in Sports Science & Management,4
083D,SPEECH AND HEARING SCIENCES,university_of_kelaniya,none,1.2242,1.2563,1.1613,1.362,1.1479,0.9193,1.3241,1.1715,1.2633,1.3835,1.0751,1.3546,0.7766,1.1571,1.2719,1.3652,1.2873,1.2992,1.3051,1.1232,1.2893,1.1794,1.0306,1.3195,1.2164,83,D,physics|chemistry|biology,english,Bachelor of Science Honours in Speech and Hearing Sciences,4
092K,TOURISM & HOSPITALITY MANAGEMENT,rajarata_university_of_sri_lanka,none,1.4018,1.4712,1.8205,1.5139,1.3856,1.515,1.4423,1.4525,1.3784,1.4912,1.4277,NQC,1.4863,NQC,1.4779,1.4535,1.5608,1.4481,1.4383,1.4904,1.4947,1.4243,1.4104,1.5947,1.3997,92,K,economics|geography|history|home_economics|agricultural_science|mathematics|combined_mathematics|communication_and_media_studies|ict|accounting|business_statistics|political_science|logic_and_scientific_method|civil_technology|electrical_electronic_and_information_technology|agro_technology|mechanical_technology|food_technology|bio_resource_technology|buddhism|hinduism|christianity|islam|buddhist_civilization|hindu_civilization|christian_civilization|islamic_civilization|greek_and_roman_civilization|art|dancing|music|drama_and_theatre|sinhala|tamil|english|arabic|pali|sanskrit|chinese|french|german|hindi|japanese|malay|russian|korean|biology|chemistry|physics|higher_mathematics|business_studies|engineering_technology|science_for_technology|biosystems_technology,english,Bachelor of Science Honours in Tourism Management|Bachelor of Science Honours in Tourism & Hospitality Management,4|4
092L,TOURISM & HOSPITALITY MANAGEMENT,sabaragamuwa_university_of_sri_lanka,none,1.4064,1.4138,1.4597,1.447,1.3687,1.5198,1.4372,1.4451,1.3822,1.4646,1.5395,1.4728,NQC,1.4222,1.3417,1.3548,1.2785,1.3704,1.4433,1.4019,1.4789,1.4805,1.4369,1.4608,1.4589,92,L,economics|geography|history|home_economics|agricultural_science|mathematics|combined_mathematics|communication_and_media_studies|ict|accounting|business_statistics|political_science|logic_and_scientific_method|civil_technology|electrical_electronic_and_information_technology|agro_technology|mechanical_technology|food_technology|bio_resource_technology|buddhism|hinduism|christianity|islam|buddhist_civilization|hindu_civilization|christian_civilization|islamic_civilization|greek_and_roman_civilization|art|dancing|music|drama_and_theatre|sinhala|tamil|english|arabic|pali|sanskrit|chinese|french|german|hindi|japanese|malay|russian|korean|biology|chemistry|physics|higher_mathematics|business_studies|engineering_technology|science_for_technology|biosystems_technology,english,Bachelor of Science Honours in Tourism Management|Bachelor of Science Honours in Hospitality Management,4|4
093F,AGRICULTURAL RESOURCE MANAGEMENT AND TECHNOLOGY,university_of_ruhuna,biological_science,0.7448,0.7098,0.8722,0.8534,0.9008,0.7576,0.8758,0.8781,0.9061,0.6863,0.8504,0.5215,0.274,0.9014,0.5991,0.8079,0.8171,0.7275,0.8972,0.9026,0.7375,0.8529,0.7978,0.9287,0.8462,93,F,chemistry|physics|biology|mathematics|agricultural_science,english,Bachelor of Science in Agricultural Resource Management and Technology,4
094F,AGRI BUSINESS MANAGEMENT,university_of_ruhuna,biological_science,0.7862,0.7574,0.8884,0.9003,0.8648,0.7544,0.8856,0.8733,0.8794,0.8585,0.5329,0.5407,0.2286,0.4383,0.6884,0.7715,0.7738,0.7133,0.8817,0.8402,0.7242,0.8112,0.8457,0.8818,0.816,94,F,biology|chemistry|physics|agricultural_science|food_technology|bio_resource_technology|agro_technology,english,Bachelor of Science in Agribusiness Management,4
095F,GREEN TECHNOLOGY,university_of_ruhuna,biological_science,0.909,0.8372,0.9279,0.7877,0.9677,0.7979,0.9408,0.9606,0.971,0.8897,0.5763,0.768,0.304,0.6334,0.775,0.8797,0.6917,0.8754,0.9198,0.9139,0.8883,0.8941,0.847,0.9389,0.9286,95,F,biology|chemistry|physics|agricultural_science|food_technology|bio_resource_technology|agro_technology,english,Bachelor of Science in Green Technology,4
064U,SCIENCE AND TECHNOLOGY,uva_wellassa_university_of_sri_lanka,none,0.9824,0.9674,0.9888,0.9824,0.9772,0.7369,1.0256,1.0507,1.0479,1.064,0.8269,0.9767,0.705,0.643,0.9287,0.9786,0.9332,0.851,0.9505,0.9587,0.7936,1.0544,0.8221,1.0248,0.9155,64,U,biology|chemistry|agricultural_science|higher_mathematics|mathematics|combined_mathematics|physics,english,Bachelor of Science Honours in Science & Technology in Food Engineering and Bioprocess Technology|Bachelor of Science Honours in Science & Technology in Materials Science and Technology|Bachelor of Science Honours in Science & Technology in Mechatronics,4|4|4
065U,COMPUTER SCIENCE & TECHNOLOGY,uva_wellassa_university_of_sri_lanka,none,1.1285,1.1495,1.2266,1.1708,1.0818,0.8858,1.2722,1.3368,1.2785,1.3308,0.8181,1.316,0.8812,1.0138,1.1438,1.096,1.1882,0.9776,1.2227,1.0701,0.8398,1.1146,1.066,1.2231,1.1612,65,U,biology|chemistry|higher_mathematics|mathematics|combined_mathematics|physics|ict,english,Bachelor of Science Honours in Computer Science and Technology,4
066U,ENTREPRENEURSHIP AND MANAGEMENT,uva_wellassa_university_of_sri_lanka,none,1.2474,1.2745,1.2666,1.2147,1.2281,1.1682,1.2937,1.2881,1.2537,0.9902,0.7666,0.8779,0.8875,0.9034,1.2137,0.9867,0.9629,1.2049,1.2721,1.1227,1.2417,1.1425,1.2049,1.2761,1.229,66,U,economics|geography|history|home_economics|agricultural_science|mathematics|combined_mathematics|communication_and_media_studies|ict|accounting|business_statistics|political_science|logic_and_scientific_method|civil_technology|electrical_electronic_and_information_technology|agro_technology|mechanical_technology|food_technology|bio_resource_technology|buddhism|hinduism|christianity|islam|buddhist_civilization|hindu_civilization|christian_civilization|islamic_civilization|greek_and_roman_civilization|art|dancing|music|drama_and_theatre|sinhala|tamil|english|arabic|pali|sanskrit|chinese|french|german|hindi|japanese|malay|russian|korean|biology|chemistry|physics|higher_mathematics|business_studies|engineering_technology|science_for_technology|biosystems_technology,english,Bachelor of Business Management Honours in Entrepreneurship and Management,4
067U,ANIMAL PRODUCTION AND FOOD TECHNOLOGY,uva_wellassa_university_of_sri_lanka,biological_science,0.7004,0.6667,0.7388,0.6984,0.8102,0.6239,0.7733,0.8214,0.7914,0.6807,0.5574,0.673,0.1637,0.4751,0.7261,0.7607,0.6436,0.5908,0.766,0.7291,0.6907,0.7177,0.7172,0.8011,0.7259,67,U,biology|chemistry|agricultural_science|higher_mathematics|mathematics|combined_mathematics|physics,english,Bachelor of Science Honours in Animal Production and Food Technology,4
073U,EXPORT AGRICULTURE,uva_wellassa_university_of_sri_lanka,biological_science,0.7366,0.648,0.7457,0.6711,0.7499,0.719,0.7548,0.7383,0.7774,0.6902,0.546,0.3388,0.4427,0.5863,0.7267,0.6791,0.6809,0.5498,0.7213,0.6874,0.6238,0.7071,0.7198,0.7768,0.7505,73,U,biology|chemistry|agricultural_science|higher_mathematics|mathematics|combined_mathematics|physics,english,Bachelor of Science Honours in Export Agriculture,4
075U,INDUSTRIAL INFORMATION TECHNOLOGY,uva_wellassa_university_of_sri_lanka,none,1.3015,1.2171,1.2884,1.2521,1.1807,1.1529,1.2775,1.3849,1.2731,1.3141,0.7088,0.7212,0.177,1.2641,1.3615,1.2634,1.1506,1.2082,1.3127,1.2401,1.3096,1.1838,1.3498,1.2217,1.283,75,U,economics|geography|history|home_economics|agricultural_science|mathematics|combined_mathematics|communication_and_media_studies|ict|accounting|business_statistics|political_science|logic_and_scientific_method|civil_technology|electrical_electronic_and_information_technology|agro_technology|mechanical_technology|food_technology|bio_resource_technology|buddhism|hinduism|christianity|islam|buddhist_civilization|hindu_civilization|christian_civilization|islamic_civilization|greek_and_roman_civilization|art|dancing|music|drama_and_theatre|sinhala|tamil|english|arabic|pali|sanskrit|chinese|french|german|hindi|japanese|malay|russian|korean|biology|chemistry|physics|higher_mathematics|business_studies|engineering_technology|science_for_technology|biosystems_technology,english,Bachelor of Science Honours in Industrial Information Technology,4
076U,MINERAL RESOURCES AND TECHNOLOGY,uva_wellassa_university_of_sri_lanka,none,0.8234,0.795,0.9194,0.7703,0.8315,0.6831,0.8923,0.8954,0.9405,0.9427,0.755,0.4134,0.2171,0.8294,0.8931,0.896,0.9457,0.7572,0.9205,0.8371,0.542,0.9404,0.8113,0.8589,0.89,76,U,biology|chemistry|physics|combined_mathematics,english,Bachelor of Science Honours in Mineral Resources and Technology in Mineral Processing Technology|Bachelor of Science Honours in Mineral Resources and Technology in Water Science and Technology,4|4
088U,AQUATIC RESOURCES TECHNOLOGY,uva_wellassa_university_of_sri_lanka,biological_science,0.6845,0.591,0.7001,0.7325,0.7164,0.542,0.7191,0.6953,0.7059,0.6721,0.4531,0.5891,0.1627,0.4573,0.7013,0.7015,0.6386,0.589,0.7015,0.6261,0.5985,0.6995,0.6925,0.7298,0.6954,88,U,biology|chemistry|agricultural_science|higher_mathematics|mathematics|combined_mathematics|physics,english,Bachelor of Science Honours in Aquatic Resources Technology,4
090U,"HOSPITALITY, TOURISM AND EVENTS MANAGEMENT",uva_wellassa_university_of_sri_lanka,biological_science,1.2425,1.2737,1.2649,1.2291,1.2186,1.0498,1.293,1.2937,1.2249,0.9514,0.6555,0.8299,1.0035,0.9186,1.1298,0.9579,0.8755,1.1482,1.2314,1.1724,1.2354,1.0667,1.1905,1.2578,1.2091,90,U,economics|geography|history|home_economics|agricultural_science|mathematics|combined_mathematics|communication_and_media_studies|ict|accounting|business_statistics|political_science|logic_and_scientific_method|civil_technology|electrical_electronic_and_information_technology|agro_technology|mechanical_technology|food_technology|bio_resource_technology|buddhism|hinduism|christianity|islam|buddhist_civilization|hindu_civilization|christian_civilization|islamic_civilization|greek_and_roman_civilization|art|dancing|music|drama_and_theatre|sinhala|tamil|english|arabic|pali|sanskrit|chinese|french|german|hindi|japanese|malay|russian|korean|biology|chemistry|physics|higher_mathematics|business_studies|engineering_technology|science_for_technology|biosystems_technology,english,"Bachelor of Business Management Honours in Hospitality, Tourism and Events Management",4
132U,ENGLISH LANGUAGE & APPLIED LINGUISTICS,uva_wellassa_university_of_sri_lanka,none,1.4182,1.3769,1.3962,1.442,1.444,1.5032,1.5263,1.4719,1.5512,1.3425,0.9417,1.5088,1.5177,1.4809,1.4924,1.451,1.5632,1.3268,1.4838,1.5317,1.435,1.4756,1.396,1.5518,1.4388,132,U,economics|geography|history|home_economics|agricultural_science|mathematics|combined_mathematics|communication_and_media_studies|ict|accounting|business_statistics|political_science|logic_and_scientific_method|civil_technology|electrical_electronic_and_information_technology|agro_technology|mechanical_technology|food_technology|bio_resource_technology|buddhism|hinduism|christianity|islam|buddhist_civilization|hindu_civilization|christian_civilization|islamic_civilization|greek_and_roman_civilization|art|dancing|music|drama_and_theatre|sinhala|tamil|english|arabic|pali|sanskrit|chinese|french|german|hindi|japanese|malay|russian|korean|biology|chemistry|physics|higher_mathematics|business_studies|engineering_technology|science_for_technology|biosystems_technology,english,Bachelor of Arts Honours in English Language & Applied Linguistics,4
135U,PLANTATION MANAGEMENT AND TECHNOLOGY,uva_wellassa_university_of_sri_lanka,none,0.717,0.6827,0.7515,0.649,0.7145,0.49,0.7556,0.7568,0.7698,0.7569,0.494,0.4086,0.1487,0.6203,0.5299,0.6249,0.6215,0.4789,0.7333,0.6157,0.4982,0.6922,0.6017,0.7548,0.6383,135,U,biology|chemistry|physics|agricultural_science|combined_mathematics,english,Bachelor of Science Honours in Plantation Management and Technology,4
139C,POLYMER SCIENCE AND INDUSTRIAL MANAGEMENT,university_of_sri_jayewardenepura,none,1.4366,1.4621,1.4784,1.2066,1.3498,1.235,1.3995,1.4077,1.4384,1.4914,0.9006,1.2966,0.6915,0.9735,1.2721,1.2424,1.3804,1.4755,1.3526,1.378,0.9987,1.3637,1.1111,1.3445,1.3851,139,C,biology|physics|chemistry|combined_mathematics,english,Bachelor of Science Honours in Polymer Science and Industrial Management,4
